#k-distance eigenvalue[eV]
2.68373089 -105.63650000
2.70966867 -105.63660000
2.73560645 -105.63660000
2.76154421 -105.63660000
2.78748199 -105.63670000
2.81341977 -105.63670000
2.83935756 -105.63670000
2.86529534 -105.63670000
2.89123310 -105.63680000
2.91717088 -105.63680000
2.94310866 -105.63680000
2.97229965 -105.63680000
3.00149064 -105.63680000
3.03068163 -105.63680000
3.05987261 -105.63670000
3.08906360 -105.63670000
3.11825459 -105.63670000
3.14744558 -105.63670000
3.17663656 -105.63670000
3.20582755 -105.63670000
3.23501854 -105.63670000
3.26420953 -105.63680000
3.29033125 -105.63670000
3.31645296 -105.63670000
3.34257468 -105.63670000
3.36869638 -105.63670000
3.39481811 -105.63670000
3.42093981 -105.63670000
3.44706153 -105.63660000
3.47318324 -105.63660000
3.49930496 -105.63660000
3.52542667 -105.63650000
3.55154839 -105.63650000
3.57767010 -105.63640000
3.60379182 -105.63640000
3.62991352 -105.63630000
3.65603525 -105.63620000
3.68215695 -105.63610000
3.70827867 -105.63610000
3.73440038 -105.63600000
3.76052210 -105.63590000
3.78664381 -105.63580000
3.81276553 -105.63570000
3.83888724 -105.63560000
3.86500896 -105.63550000
3.89113066 -105.63540000
3.91725239 -105.63530000
3.94337409 -105.63520000
3.96949581 -105.63510000
3.99561752 -105.63500000
4.02173924 -105.63490000
4.04786095 -105.63480000
4.07398267 -105.63460000
4.10010437 -105.63450000
4.12622610 -105.63440000
4.15234782 -105.63440000
4.17846953 -105.63440000
4.20459125 -105.63440000
4.23071295 -105.63440000
4.25683468 -105.63440000
4.28295638 -105.63440000
4.30907810 -105.63440000
4.33519981 -105.63440000
4.36132153 -105.63440000
4.38744324 -105.63440000
4.41356496 -105.63440000
4.43968666 -105.63440000
4.46580839 -105.63440000
4.49193009 -105.63440000
4.51805181 -105.63440000
4.54417352 -105.63440000
4.57029524 -105.63440000
4.59641695 -105.63440000
4.62253867 -105.63440000
4.64866038 -105.63450000
4.67478210 -105.63450000
4.70090380 -105.63450000
4.72702553 -105.63450000
4.75314723 -105.63450000
4.77926895 -105.63450000
4.80539066 -105.63450000
4.83151238 -105.63450000
4.85763409 -105.63450000
4.88375581 -105.63450000
4.90987752 -105.63450000
4.93599924 -105.63450000
4.96212094 -105.63450000
4.98824267 -105.63450000
5.01418045 -105.63450000
5.04011823 -105.63450000
5.06605599 -105.63450000
5.09199377 -105.63450000
5.11793155 -105.63460000
5.14386934 -105.63460000
5.16980712 -105.63460000
5.19574488 -105.63460000
5.22168266 -105.63470000
5.24762044 -105.63480000
5.27355822 -105.63480000
5.29949598 -105.63490000
